id,name,city,rating,rating_count,cuisine,cost
277179,The Veggie Thali,Bangalore,3.9,20,Indian,200
277266,Hotel Sakthi Bhavan (Since 1983),Chennai,4.5,100,South Indian,100
277275,MEENAKSHI BHAVANA,Sirsi,4,50,South Indian,100
277313,OM BHOJANALAYA,Haridwar,3.8,1000,Indian,250
277329,NILA,Kolkata,4.4,100,North Indian,120
277331,The Hideout Cafe,Ranchi,3.9,100,Chinese,250
277469,Orka Cafe,Vijayawada,3.8,20,Indian,800
277479,YUMMY CHINESE HUT,Vizag,3.7,50,Chinese,150
277510,CHAAT KA CHASKA BURGER WORGER,Kolkata,3.4,50,Snacks,150
277549,Santosh Dhaba,Vizag,3.8,20,Indian,150
277554,The Mughal Trail,Delhi,4.1,100,Mughlai,300
277569,Haldiram's (Sec-29),Bikaner,4.3,100,Sweets,650
277679,The Vibe,Varanasi,3.7,20,Indian,500
277681,AUNTIE FUNG'S,Bangalore,4.1,100,Asian,500
277682,99 Chickens,Varanasi,4,100,Pizzas,250
277696,Roti Curry and Co,Bangalore,4.4,20,Indian,200
277704,Haldiram's (Sec-15),Faridabad,4.1,100,Sweets,400
277716,Mahalaxmi Sweets,Cuttack,4.4,50,Snacks,200
277717,CAFE CORNER,Cuttack,4.4,100,Snacks,200
277743,Nithya Amirtham Sweets,Chennai,4.5,500,South Indian,200
277798,The South Junction,Asansol,2.5,20,South Indian,250
277805,Madhuram Family Restaurant,Ongole,3.7,50,Indian,200
277814,Goodness To Go,Mumbai,4.3,50,European,400
277868,Nitin Non-Veg Restaurant,Amravati,3.3,20,Indian,200
277872,MIRCHI  FAMILY RESTAURANT,Amravati,3.2,50,Indian,200
277884,Yum Yum Cha,Bikaner,4.6,50,Japanese,1800
277961,Crazy 4 Cakes,Kolkata,3.8,100,Bakery,200
277971,Golpo Bake N Shake,Jalpaiguri,3.8,20,Bakery,300
278037,Haveli Restaurant,Rewa,2.7,50,Indian,250
278048,Davanagere Benne Dosa,Bangalore,4.3,50,South Indian,150
278051,Davanagere Benne Dosa Ecity,Bangalore,3.9,20,Fast Food,150
278120,Hotel Chembarathi,Kothamanagalam,3.5,50,Indian,150
278124,Maa Hotel,Changanassery,4.2,20,Indian,200
278162,Dindigul Thalappakatti,Bangalore,3.9,500,Biryani,600
278271,Simply Veg,Lucknow,4.1,100,North Indian,250
278277,VI TAJ ELITE RESTAURANT,Virudhunagar,3.8,100,North Indian,200
278282,Bombay Salad Co,Mumbai,4.7,1000,Salads,900
278354,New York Slice Pizza,Hyderabad,3.8,100,Indian,198
278358,Aioli Bbq and Grill,Bangalore,4,20,Continental,999
278422,Kwality Walls Frozen Dessert and Ice Cream Shop,Medinipur,4.7,100,Desserts,100
278425,Grill Masters,Bahadurgarh,3.7,20,Fast Food,250
278431,Royal Family Restaurant,Katihar,2.9,50,Chinese,100
278435,Deenanath Restaurant,Bareilly,3.9,100,South Indian,200
278493,Chicken Street,Bangalore,4.2,50,Biryani,200
278505,KUTTY AMMA DOSAI KADAI,Virudhunagar,4.4,100,South Indian,99
278508,Royal Biryani Cafe,Hisar,3,20,Biryani,400
278552,Feast At Sheraton Grand Whitefield,Bangalore,3.5,20,Continental,1000
278554,Courtyard by Marriott,Pune,3.8,100,North Indian,800
278564,Al Bake,Delhi,3.7,100,Indian,500
278577,Mataam AL-Rahath,Kollam,4.3,100,Arabian,199
278580,The Wooden Spoon,Bangalore,3.9,100,Chinese,400
278589,Atithi Vihar Restaurant,Rourkela,4,20,Sweets,100
278636,THE HOTEL CANOE,Kannur,3.9,50,Indian,350
278643,Shahi Biryani Zone,Malda,3.2,20,Chinese,300
278656,Chinese Combo World,Kolkata,3.6,100,Chinese,300
278685,Crazy 4 Cakes-Russel Street,Kolkata,4.1,100,Bakery,200
278723,Chulha Chauki Da Dhaba,Bangalore,4,100,North Indian,600
278729,Delicious World,Korba,3.5,20,North Indian,200
278733,The Cake Xpress,Kolkata,4.5,50,Desserts,300
278737,Burger Castle Cafe - Cheroor,Thrissur,4.2,500,Continental,200
